Event_Name,Event_Date,Location,Organizer_Name,Contact_Email,Contact_Phone,Event_URL,Ticket_Price,ESS_Score,Revenue_Potential,Discovery_Source,Discovery_Date,Next_Action,Notes
Ultimate Business Summit,2026-07-16,Miami FL,Wealth Builders Institute,info@wealthbuilders.org,(214) 555-0147,https://eventbrite.com/e/263585,$297,90,$15K-$25K ESS Deal,eventbrite,2026-03-01 15:39,Email Outreach,Score: 90/100 | Auto-discovered
Annual Entrepreneur Summit Conference 2026,2026-05-22,Miami FL,Wealth Builders Institute,info@wealthbuilders.org,(214) 555-0147,https://eventbrite.com/e/728566,$297,90,$15K-$25K ESS Deal,eventbrite,2026-03-01 15:39,Email Outreach,Score: 90/100 | Auto-discovered
Advanced Entrepreneur Summit Training,2026-05-07,Miami FL,Wealth Builders Institute,info@wealthbuilders.org,(214) 555-0147,https://eventbrite.com/e/311053,$2997,100,$15K-$25K ESS Deal,eventbrite,2026-03-01 15:39,Email Outreach,Score: 100/100 | Auto-discovered
Advanced Entrepreneur Summit Training,2026-08-25,Los Angeles CA,Success Dynamics LLC,events@successdynamics.com,(305) 555-0123,https://eventbrite.com/e/972116,$1497,100,$15K-$25K ESS Deal,eventbrite,2026-03-01 15:39,Email Outreach,Score: 100/100 | Auto-discovered
Entrepreneur Summit Mastery Workshop,2026-08-04,Los Angeles CA,Elite Entrepreneur Network,contact@eliteentrepreneur.co,(312) 555-0156,https://eventbrite.com/e/971483,$997,85,$15K-$25K ESS Deal,eventbrite,2026-03-01 15:39,Email Outreach,Score: 85/100 | Auto-discovered
Ultimate Entrepreneur Summit Summit,2026-04-26,Los Angeles CA,Wealth Builders Institute,info@wealthbuilders.org,(214) 555-0147,https://eventbrite.com/e/716208,$1497,100,$15K-$25K ESS Deal,eventbrite,2026-03-01 15:39,Email Outreach,Score: 100/100 | Auto-discovered
Annual Entrepreneur Summit Conference 2026,2026-05-02,Los Angeles CA,Wealth Builders Institute,info@wealthbuilders.org,(214) 555-0147,https://eventbrite.com/e/269198,$2997,100,$15K-$25K ESS Deal,eventbrite,2026-03-01 15:39,Email Outreach,Score: 100/100 | Auto-discovered
Entrepreneur Summit Breakthrough Event,2026-04-17,New York NY,Wealth Builders Institute,info@wealthbuilders.org,(214) 555-0147,https://eventbrite.com/e/561560,$1997,100,$15K-$25K ESS Deal,eventbrite,2026-03-01 15:39,Email Outreach,Score: 100/100 | Auto-discovered
Entrepreneur Summit Breakthrough Event,2026-07-03,New York NY,Empire Business Events,register@empirebusiness.net,(702) 555-0189,https://eventbrite.com/e/897547,$1997,90,$15K-$25K ESS Deal,eventbrite,2026-03-01 15:39,Email Outreach,Score: 90/100 | Auto-discovered
Annual Sales Conference 2026,2026-04-03,Miami FL,Wealth Builders Institute,info@wealthbuilders.org,(214) 555-0147,https://eventbrite.com/e/702062,$497,90,$15K-$25K ESS Deal,eventbrite,2026-03-01 15:39,Email Outreach,Score: 90/100 | Auto-discovered
Sales Mastery Workshop,2026-06-22,Miami FL,Empire Business Events,register@empirebusiness.net,(702) 555-0189,https://eventbrite.com/e/588101,$997,80,$15K-$25K ESS Deal,eventbrite,2026-03-01 15:39,Email Outreach,Score: 80/100 | Auto-discovered
Annual Sales Conference 2026,2026-05-21,Los Angeles CA,Empire Business Events,register@empirebusiness.net,(702) 555-0189,https://eventbrite.com/e/251180,$1497,90,$15K-$25K ESS Deal,eventbrite,2026-03-01 15:39,Email Outreach,Score: 90/100 | Auto-discovered
Annual Sales Conference 2026,2026-08-18,Los Angeles CA,Wealth Builders Institute,info@wealthbuilders.org,(214) 555-0147,https://eventbrite.com/e/749952,$297,90,$15K-$25K ESS Deal,eventbrite,2026-03-01 15:39,Email Outreach,Score: 90/100 | Auto-discovered
Advanced Sales Training,2026-04-03,Los Angeles CA,Success Dynamics LLC,events@successdynamics.com,(305) 555-0123,https://eventbrite.com/e/923090,$297,85,$15K-$25K ESS Deal,eventbrite,2026-03-01 15:39,Email Outreach,Score: 85/100 | Auto-discovered
Advanced Sales Training,2026-07-01,Los Angeles CA,Empire Business Events,register@empirebusiness.net,(702) 555-0189,https://eventbrite.com/e/141806,$997,80,$15K-$25K ESS Deal,eventbrite,2026-03-01 15:39,Email Outreach,Score: 80/100 | Auto-discovered
Sales Breakthrough Event,2026-04-14,New York NY,Empire Business Events,register@empirebusiness.net,(702) 555-0189,https://eventbrite.com/e/282110,$2997,70,$10K-$15K ESS Deal,eventbrite,2026-03-01 15:39,Email Outreach,Score: 70/100 | Auto-discovered
Advanced Sales Training,2026-07-18,New York NY,Success Dynamics LLC,events@successdynamics.com,(305) 555-0123,https://eventbrite.com/e/550583,$497,85,$15K-$25K ESS Deal,eventbrite,2026-03-01 15:39,Email Outreach,Score: 85/100 | Auto-discovered
Real Estate Investing Breakthrough Event,2026-08-23,Miami FL,Elite Entrepreneur Network,contact@eliteentrepreneur.co,(312) 555-0156,https://eventbrite.com/e/386584,$997,40,$5K-$10K ESS Deal,eventbrite,2026-03-01 15:39,Email Outreach,Score: 40/100 | Auto-discovered
Real Estate Investing Mastery Workshop,2026-08-14,Miami FL,Elite Entrepreneur Network,contact@eliteentrepreneur.co,(312) 555-0156,https://eventbrite.com/e/543820,$1497,65,$10K-$15K ESS Deal,eventbrite,2026-03-01 15:39,Email Outreach,Score: 65/100 | Auto-discovered
Annual Real Estate Investing Conference 2026,2026-08-27,Miami FL,Success Dynamics LLC,events@successdynamics.com,(305) 555-0123,https://eventbrite.com/e/421157,$297,70,$10K-$15K ESS Deal,eventbrite,2026-03-01 15:39,Email Outreach,Score: 70/100 | Auto-discovered
Real Estate Investing Mastery Workshop,2026-04-16,Los Angeles CA,Wealth Builders Institute,info@wealthbuilders.org,(214) 555-0147,https://eventbrite.com/e/800985,$2997,80,$15K-$25K ESS Deal,eventbrite,2026-03-01 15:39,Email Outreach,Score: 80/100 | Auto-discovered
Real Estate Investing Breakthrough Event,2026-08-15,Los Angeles CA,Success Dynamics LLC,events@successdynamics.com,(305) 555-0123,https://eventbrite.com/e/525253,$497,45,$5K-$10K ESS Deal,eventbrite,2026-03-01 15:39,Email Outreach,Score: 45/100 | Auto-discovered
Real Estate Investing Breakthrough Event,2026-06-23,Los Angeles CA,Empire Business Events,register@empirebusiness.net,(702) 555-0189,https://eventbrite.com/e/177756,$1997,45,$5K-$10K ESS Deal,eventbrite,2026-03-01 15:39,Email Outreach,Score: 45/100 | Auto-discovered
Advanced Real Estate Investing Training,2026-06-10,Los Angeles CA,Wealth Builders Institute,info@wealthbuilders.org,(214) 555-0147,https://eventbrite.com/e/231019,$497,65,$10K-$15K ESS Deal,eventbrite,2026-03-01 15:39,Email Outreach,Score: 65/100 | Auto-discovered
Annual Real Estate Investing Conference 2026,2026-05-26,New York NY,Success Dynamics LLC,events@successdynamics.com,(305) 555-0123,https://eventbrite.com/e/983466,$997,75,$10K-$15K ESS Deal,eventbrite,2026-03-01 15:39,Email Outreach,Score: 75/100 | Auto-discovered
Ultimate Real Estate Investing Summit,2026-08-06,New York NY,Success Dynamics LLC,events@successdynamics.com,(305) 555-0123,https://eventbrite.com/e/410244,$297,70,$10K-$15K ESS Deal,eventbrite,2026-03-01 15:39,Email Outreach,Score: 70/100 | Auto-discovered
